"po_number","cust_id","sku"
"PO NUMBER","Cust ID","NB SKU"
"C077836","Canada","WL515WHT"
"U008386","United States","ML515BLK"
"U008362","United States","ML515NVY"
"U008407","United States","WL515WHT"
"U008398","United States","ML515WHT"
"U008400","United States","ML515BLK"
"U008358","United States","ML515BLK"
"U008402","United States","WL515GRY"
"U008371","United States","WL515SB3"
"U008381","United States","WL515SB3"
"C095005","Canada","WL515WHT"
"U013086","United States","WL515WHT"
"U013094","United States","WL515WHT"
"U013140","United States","WL515WHT"
"U013141","United States","WL515WHT"
"U013143","United States","ML515BLK"
"U013144","United States","ML515BLK"
"U013145","United States","WL515WHT"
"U013148","United States","WL515WHT"
"U013149","United States","WL515WHT"
"U013150","United States","WL515WHT"
"U013151","United States","WL515WHT"
"U013152","United States","WL515WHT"
"U013153","United States","WL515WHT"
"U019097","United States","GC515GRY"
"U019102","United States","GC515GRY"
"U019108","United States","PC515PNK"
"U019107","United States","GC515GRY"
"U019083","United States","PC515GRY"
"U019103","United States","PC515GRY"
"U019105","United States","PC515GRY"
"U019100","United States","GC515WHT"
"C107794","Canada","ML515NVY"
"C107798","Canada","ML515WNV"
"C107802","Canada","ML515TWT"
"U022400","United States","WL515MBO"
"U022429","United States","ML515AGG"
"U022439","United States","WL515WHT"
"U022450","United States","ML515GRY"
"U022490","United States","WL515WHT"
"U022491","United States","ML515NVY"
"U022494","United States","WL515BLK"
"U022497","United States","WL515MBO"
"U022400","United States","WL515MBO"
"U022890","United States","WL515NVY"
"U023479","United States","GC515GRY"
"U023479","United States","GC515GRY"
"U023480","United States","GC515WHT"
"U023480","United States","GC515WHT"
"U023481","United States","PC515PNK"
"U023481","United States","PC515PNK"
"U023482","United States","NW515BP"
"U023482","United States","NW515BP"
"U023482","United States","NW515BP"
"U034795","United States","GC515WHT"
"U034795","United States","GC515WHT"
"U034935","United States","GC515GRY"
"U034935","United States","GC515GRY"
"U034937","United States","GC515WHT"
"U034937","United States","GC515WHT"
"U030916","United States","WL515NVY"
"U030916","United States","WL515NVY"
"U030916","United States","WL515NVY"
"U031129","United States","WL515MNV"
"U031172","United States","WL515SBL"
"U031197","United States","ML515AGR"
